at,probe_subject,template_subject,pair,score,threshold,lighting,phone_tilt,facing,luma_mean,luma_std,pose_ratio,tilt_deg,size
2026-08-16T20:17:26.306271,me,me,genuine,0.5890350025056248,0.5508,normal,level,side_on,103.101,0.665,0.7545,12.8728,0.4364
2026-08-16T20:17:26.306271,me,me,genuine,0.58576707213889,0.5508,normal,level,side_on,103.101,0.665,0.7545,12.8728,0.4364
2026-08-16T20:17:48.793001,me,me,genuine,0.5207043907978982,0.5508,normal,level,side_on,104.102,1.487,0.7647,17.9264,0.3942
2026-08-16T20:17:48.793001,me,me,genuine,0.5009493912841985,0.5508,normal,level,side_on,104.102,1.487,0.7647,17.9264,0.3942
2026-08-16T20:18:31.266338,me,me,genuine,0.7109676320938139,0.5508,normal,level,side_on,104.907,0.936,0.7436,5.8589,0.4305
2026-08-16T20:18:31.266338,me,me,genuine,0.6530483527136403,0.5508,normal,level,side_on,104.907,0.936,0.7436,5.8589,0.4305
2026-08-16T20:18:41.145304,me,me,genuine,0.7305465429601902,0.5508,normal,level,side_on,105.566,0.507,0.778,5.6881,0.352
2026-08-16T20:18:41.145304,me,me,genuine,0.5673431756170245,0.5508,normal,level,side_on,105.566,0.507,0.778,5.6881,0.352
2026-08-16T20:18:51.599332,me,me,genuine,0.7211097835892628,0.5508,normal,level,side_on,107.752,1.902,0.7338,1.2621,0.4376
2026-08-16T20:18:51.599332,me,me,genuine,0.5654748808849058,0.5508,normal,level,side_on,107.752,1.902,0.7338,1.2621,0.4376
2026-08-16T20:19:01.215991,me,me,genuine,0.7353647741037705,0.5508,normal,level,side_on,107.025,0.612,0.7081,2.3591,0.5051
2026-08-16T20:19:01.215991,me,me,genuine,0.6053655401809392,0.5508,normal,level,side_on,107.025,0.612,0.7081,2.3591,0.5051
2026-08-16T20:20:07.480721,me,me,genuine,0.49285933419651784,0.5508,mixed,up,toward_light,92.789,5.967,0.7315,1.8292,0.466
2026-08-16T20:20:07.480721,me,me,genuine,0.22633453789322128,0.5508,mixed,up,toward_light,92.789,5.967,0.7315,1.8292,0.466
2026-08-16T20:20:29.787379,me,me,genuine,0.5543384533609155,0.5508,mixed,up,toward_light,105.27,0.857,0.7367,2.2771,0.4444
2026-08-16T20:20:29.787379,me,me,genuine,0.4468061930419146,0.5508,mixed,up,toward_light,105.27,0.857,0.7367,2.2771,0.4444
2026-08-16T20:21:22.177892,me,me,genuine,0.8607009031794588,0.5508,bright,up,away_from_light,95.596,2.605,0.7424,4.1296,0.4129
2026-08-16T20:21:22.177892,me,me,genuine,0.5775551170784781,0.5508,bright,up,away_from_light,95.596,2.605,0.7424,4.1296,0.4129
2026-08-16T20:21:32.747582,me,me,genuine,0.8352384060842233,0.5508,bright,up,away_from_light,92.646,0.974,0.7721,3.0885,0.3425
2026-08-16T20:21:32.747582,me,me,genuine,0.64997978951077,0.5508,bright,up,away_from_light,92.646,0.974,0.7721,3.0885,0.3425
2026-08-16T20:25:08.962963,person 1,me,impostor,0.1410751512367339,0.5508,bright,up,side_on,103.179,1.762,0.7095,18.7045,0.3906
2026-08-16T20:25:08.962963,person 1,me,impostor,0.11810739753579748,0.5508,bright,up,side_on,103.179,1.762,0.7095,18.7045,0.3906
2026-08-16T20:33:01.667815,person 1,person 1,genuine,0.8436939454406234,0.5508,bright,up,side_on,100.381,2.281,0.7363,13.7456,0.4414
2026-08-16T20:33:01.667815,person 1,me,impostor,0.13878947901675245,0.5508,bright,up,side_on,100.381,2.281,0.7363,13.7456,0.4414
2026-08-16T20:33:01.667815,person 1,me,impostor,0.0653912810477082,0.5508,bright,up,side_on,100.381,2.281,0.7363,13.7456,0.4414
2026-08-16T20:33:09.409187,person 1,person 1,genuine,0.8621296353137512,0.5508,bright,up,side_on,98.317,0.759,0.737,15.6487,0.4236
2026-08-16T20:33:09.409187,person 1,me,impostor,0.15731109758989126,0.5508,bright,up,side_on,98.317,0.759,0.737,15.6487,0.4236
2026-08-16T20:33:09.409187,person 1,me,impostor,0.10171215539402875,0.5508,bright,up,side_on,98.317,0.759,0.737,15.6487,0.4236
2026-08-16T20:33:43.104383,person 1,person 1,genuine,0.4495476455763613,0.5508,normal,up,toward_light,84.101,0.926,0.6903,14.3094,0.4001
2026-08-16T20:33:43.104383,person 1,me,impostor,0.030721013573461697,0.5508,normal,up,toward_light,84.101,0.926,0.6903,14.3094,0.4001
2026-08-16T20:33:43.104383,person 1,me,impostor,-0.2271583834716295,0.5508,normal,up,toward_light,84.101,0.926,0.6903,14.3094,0.4001
2026-08-16T20:34:35.409154,person 1,person 1,genuine,0.45687755297730026,0.5508,normal,up,away_from_light,110.661,5.622,0.6681,14.8586,0.3814
2026-08-16T20:34:35.409154,person 1,me,impostor,0.21157612195092476,0.5508,normal,up,away_from_light,110.661,5.622,0.6681,14.8586,0.3814
2026-08-16T20:34:35.409154,person 1,me,impostor,0.11157500883573895,0.5508,normal,up,away_from_light,110.661,5.622,0.6681,14.8586,0.3814
2026-08-16T20:34:47.338830,person 1,person 1,genuine,0.5080500414395092,0.5508,normal,up,away_from_light,107.775,2.615,0.6757,23.295,0.3613
2026-08-16T20:34:47.338830,person 1,me,impostor,0.20945480604533848,0.5508,normal,up,away_from_light,107.775,2.615,0.6757,23.295,0.3613
